response_id,question_id,pair_id,category,domain,model,claude_score,parse_success,timestamp
deepseek-v3.2:cloud|ADMET-PEP-01,ADMET-PEP-01,ADMET-01,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:36:08.803970+00:00
deepseek-v3.2:cloud|ADMET-PEP-02,ADMET-PEP-02,ADMET-02,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,2,True,2026-02-10T02:36:18.871837+00:00
deepseek-v3.2:cloud|ADMET-PEP-03,ADMET-PEP-03,ADMET-03,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:36:28.522147+00:00
deepseek-v3.2:cloud|ADMET-PEP-04,ADMET-PEP-04,ADMET-04,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,2,True,2026-02-10T02:36:38.226074+00:00
deepseek-v3.2:cloud|ADMET-PEP-05,ADMET-PEP-05,ADMET-05,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:36:47.597887+00:00
deepseek-v3.2:cloud|ADMET-PEP-06,ADMET-PEP-06,ADMET-06,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:36:56.785027+00:00
deepseek-v3.2:cloud|ADMET-PEP-07,ADMET-PEP-07,ADMET-07,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:37:05.798903+00:00
deepseek-v3.2:cloud|ADMET-PEP-08,ADMET-PEP-08,ADMET-08,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:37:14.955777+00:00
deepseek-v3.2:cloud|ADMET-PEP-09,ADMET-PEP-09,ADMET-09,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:37:24.506651+00:00
deepseek-v3.2:cloud|ADMET-PEP-10,ADMET-PEP-10,ADMET-10,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,3,True,2026-02-10T02:37:34.164236+00:00
deepseek-v3.2:cloud|ADMET-SM-01,ADMET-SM-01,ADMET-01,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:37:43.109764+00:00
deepseek-v3.2:cloud|ADMET-SM-02,ADMET-SM-02,ADMET-02,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:37:53.796036+00:00
deepseek-v3.2:cloud|ADMET-SM-03,ADMET-SM-03,ADMET-03,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:38:03.285989+00:00
deepseek-v3.2:cloud|ADMET-SM-04,ADMET-SM-04,ADMET-04,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:38:13.486286+00:00
deepseek-v3.2:cloud|ADMET-SM-05,ADMET-SM-05,ADMET-05,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,1,True,2026-02-10T02:38:23.616636+00:00
deepseek-v3.2:cloud|ADMET-SM-06,ADMET-SM-06,ADMET-06,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:38:33.314862+00:00
deepseek-v3.2:cloud|ADMET-SM-07,ADMET-SM-07,ADMET-07,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:38:42.835453+00:00
deepseek-v3.2:cloud|ADMET-SM-08,ADMET-SM-08,ADMET-08,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:38:52.784763+00:00
deepseek-v3.2:cloud|ADMET-SM-09,ADMET-SM-09,ADMET-09,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:39:02.573462+00:00
deepseek-v3.2:cloud|ADMET-SM-10,ADMET-SM-10,ADMET-10,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:39:12.826218+00:00
deepseek-v3.2:cloud|ASSAY-PEP-01,ASSAY-PEP-01,ASSAY-01,Assay Interpretation,peptide,DeepSeek V3.2,3,True,2026-02-10T02:39:22.888746+00:00
deepseek-v3.2:cloud|ASSAY-PEP-02,ASSAY-PEP-02,ASSAY-02,Assay Interpretation,peptide,DeepSeek V3.2,3,True,2026-02-10T02:39:32.208069+00:00
deepseek-v3.2:cloud|ASSAY-PEP-03,ASSAY-PEP-03,ASSAY-03,Assay Interpretation,peptide,DeepSeek V3.2,3,True,2026-02-10T02:39:41.543746+00:00
deepseek-v3.2:cloud|ASSAY-PEP-04,ASSAY-PEP-04,ASSAY-04,Assay Interpretation,peptide,DeepSeek V3.2,3,True,2026-02-10T02:39:50.841659+00:00
deepseek-v3.2:cloud|ASSAY-PEP-05,ASSAY-PEP-05,ASSAY-05,Assay Interpretation,peptide,DeepSeek V3.2,2,True,2026-02-10T02:39:59.857889+00:00
deepseek-v3.2:cloud|ASSAY-PEP-06,ASSAY-PEP-06,ASSAY-06,Assay Interpretation,peptide,DeepSeek V3.2,3,True,2026-02-10T02:40:09.234268+00:00
deepseek-v3.2:cloud|ASSAY-PEP-07,ASSAY-PEP-07,ASSAY-07,Assay Interpretation,peptide,DeepSeek V3.2,1,True,2026-02-10T02:40:18.609389+00:00
deepseek-v3.2:cloud|ASSAY-PEP-08,ASSAY-PEP-08,ASSAY-08,Assay Interpretation,peptide,DeepSeek V3.2,3,True,2026-02-10T02:40:27.794274+00:00
deepseek-v3.2:cloud|ASSAY-PEP-09,ASSAY-PEP-09,ASSAY-09,Assay Interpretation,peptide,DeepSeek V3.2,1,True,2026-02-10T02:40:36.876312+00:00
deepseek-v3.2:cloud|ASSAY-PEP-10,ASSAY-PEP-10,ASSAY-10,Assay Interpretation,peptide,DeepSeek V3.2,3,True,2026-02-10T02:40:46.343342+00:00
deepseek-v3.2:cloud|ASSAY-SM-01,ASSAY-SM-01,ASSAY-01,Assay Interpretation,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:40:55.689346+00:00
deepseek-v3.2:cloud|ASSAY-SM-02,ASSAY-SM-02,ASSAY-02,Assay Interpretation,small_molecule,DeepSeek V3.2,1,True,2026-02-10T02:41:05.058618+00:00
deepseek-v3.2:cloud|ASSAY-SM-03,ASSAY-SM-03,ASSAY-03,Assay Interpretation,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:41:14.269064+00:00
deepseek-v3.2:cloud|ASSAY-SM-04,ASSAY-SM-04,ASSAY-04,Assay Interpretation,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:41:23.845088+00:00
deepseek-v3.2:cloud|ASSAY-SM-05,ASSAY-SM-05,ASSAY-05,Assay Interpretation,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:41:32.808615+00:00
deepseek-v3.2:cloud|ASSAY-SM-06,ASSAY-SM-06,ASSAY-06,Assay Interpretation,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:41:41.545969+00:00
deepseek-v3.2:cloud|ASSAY-SM-07,ASSAY-SM-07,ASSAY-07,Assay Interpretation,small_molecule,DeepSeek V3.2,1,True,2026-02-10T02:41:50.541911+00:00
deepseek-v3.2:cloud|ASSAY-SM-08,ASSAY-SM-08,ASSAY-08,Assay Interpretation,small_molecule,DeepSeek V3.2,1,True,2026-02-10T02:42:00.281293+00:00
deepseek-v3.2:cloud|ASSAY-SM-09,ASSAY-SM-09,ASSAY-09,Assay Interpretation,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:42:10.516430+00:00
deepseek-v3.2:cloud|ASSAY-SM-10,ASSAY-SM-10,ASSAY-10,Assay Interpretation,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:42:19.762770+00:00
deepseek-v3.2:cloud|GEN-PEP-01,GEN-PEP-01,GEN-01,Generative Design Strategies,peptide,DeepSeek V3.2,1,True,2026-02-10T02:42:28.999426+00:00
deepseek-v3.2:cloud|GEN-PEP-02,GEN-PEP-02,GEN-02,Generative Design Strategies,peptide,DeepSeek V3.2,3,True,2026-02-10T02:42:38.474691+00:00
deepseek-v3.2:cloud|GEN-PEP-03,GEN-PEP-03,GEN-03,Generative Design Strategies,peptide,DeepSeek V3.2,2,True,2026-02-10T02:42:47.733433+00:00
deepseek-v3.2:cloud|GEN-PEP-04,GEN-PEP-04,GEN-04,Generative Design Strategies,peptide,DeepSeek V3.2,3,True,2026-02-10T02:42:56.897680+00:00
deepseek-v3.2:cloud|GEN-PEP-05,GEN-PEP-05,GEN-05,Generative Design Strategies,peptide,DeepSeek V3.2,2,True,2026-02-10T02:43:06.554811+00:00
deepseek-v3.2:cloud|GEN-PEP-06,GEN-PEP-06,GEN-06,Generative Design Strategies,peptide,DeepSeek V3.2,2,True,2026-02-10T02:43:16.053397+00:00
deepseek-v3.2:cloud|GEN-PEP-07,GEN-PEP-07,GEN-07,Generative Design Strategies,peptide,DeepSeek V3.2,3,True,2026-02-10T02:43:24.917169+00:00
deepseek-v3.2:cloud|GEN-PEP-08,GEN-PEP-08,GEN-08,Generative Design Strategies,peptide,DeepSeek V3.2,3,True,2026-02-10T02:43:34.799786+00:00
deepseek-v3.2:cloud|GEN-PEP-09,GEN-PEP-09,GEN-09,Generative Design Strategies,peptide,DeepSeek V3.2,2,True,2026-02-10T02:43:46.001793+00:00
deepseek-v3.2:cloud|GEN-PEP-10,GEN-PEP-10,GEN-10,Generative Design Strategies,peptide,DeepSeek V3.2,2,True,2026-02-10T02:43:55.234723+00:00
deepseek-v3.2:cloud|GEN-SM-01,GEN-SM-01,GEN-01,Generative Design Strategies,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:44:04.999127+00:00
deepseek-v3.2:cloud|GEN-SM-02,GEN-SM-02,GEN-02,Generative Design Strategies,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:44:15.035453+00:00
deepseek-v3.2:cloud|GEN-SM-03,GEN-SM-03,GEN-03,Generative Design Strategies,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:44:24.032651+00:00
deepseek-v3.2:cloud|GEN-SM-04,GEN-SM-04,GEN-04,Generative Design Strategies,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:44:33.040663+00:00
deepseek-v3.2:cloud|GEN-SM-05,GEN-SM-05,GEN-05,Generative Design Strategies,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:44:42.373558+00:00
deepseek-v3.2:cloud|GEN-SM-06,GEN-SM-06,GEN-06,Generative Design Strategies,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:44:51.632717+00:00
deepseek-v3.2:cloud|GEN-SM-07,GEN-SM-07,GEN-07,Generative Design Strategies,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:45:01.320962+00:00
deepseek-v3.2:cloud|GEN-SM-08,GEN-SM-08,GEN-08,Generative Design Strategies,small_molecule,DeepSeek V3.2,1,True,2026-02-10T02:45:10.292960+00:00
deepseek-v3.2:cloud|GEN-SM-09,GEN-SM-09,GEN-09,Generative Design Strategies,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:45:20.248766+00:00
deepseek-v3.2:cloud|GEN-SM-10,GEN-SM-10,GEN-10,Generative Design Strategies,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:45:29.574582+00:00
deepseek-v3.2:cloud|OPT-PEP-01,OPT-PEP-01,OPT-01,Optimization Approaches,peptide,DeepSeek V3.2,3,True,2026-02-10T02:45:39.207324+00:00
deepseek-v3.2:cloud|OPT-PEP-02,OPT-PEP-02,OPT-02,Optimization Approaches,peptide,DeepSeek V3.2,3,True,2026-02-10T02:45:48.237133+00:00
deepseek-v3.2:cloud|OPT-PEP-03,OPT-PEP-03,OPT-03,Optimization Approaches,peptide,DeepSeek V3.2,3,True,2026-02-10T02:45:57.845747+00:00
deepseek-v3.2:cloud|OPT-PEP-04,OPT-PEP-04,OPT-04,Optimization Approaches,peptide,DeepSeek V3.2,3,True,2026-02-10T02:46:07.204740+00:00
